date,keyword,count,status
2026-01-27,洋裝,2408,ok
2026-01-27,連身裙,1372,ok
2026-01-27,牛仔褲,978,ok
2026-01-27,短裙,417,ok
2026-01-27,雪紡,630,ok
2026-01-27,針織衫,486,ok
2026-01-27,襯衫,2825,ok
2026-01-27,西裝外套,196,ok
2026-01-27,風衣,1517,ok
2026-01-27,高腰褲,1025,ok
